connector_id,connector_name,platform,source,matched_keyword,title,description,content,url,author,category,published_at,collected_at,title_length,content_length,word_count
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola's Wendy Clark on the 'artificial divide' between creativity and effectiveness," In pursuing effectiveness, brands and agencies often disconnect creativity from the process - and marketing testing and measurement tools are partly to blame. This divide must be bridged, Wendy Clark argues in the third of our series on creative effectiveness","In pursuing effectiveness, brands and agencies often disconnect creativity from the process - and marketing testing and measurement tools are partly to blame. This divide must be bridged, Wendy Clark argues in the third of our series on creative effectiveness byWendy Clark|16/06/2015  LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/coca-colas-wendy-clark-on-the-artificial-divide-between-creativity-and-effecti/4w6n60j3tw54xwr8pwz39qg750,,,,2026-06-02T14:40:41.028413,87,314,46
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola and WPP renew global marketing partnership," Less than two months after Publicis outmanoeuvred WPP for the North American media business, WPP has renewed its multi-billion-dollar global partnership with Coca-Cola. ","Less than two months after Publicis outmanoeuvred WPP for the North American media business, WPP has renewed its multi-billion-dollar global partnership with Coca-Cola. byNikita Mishra|22/05/2025 The Coca-Cola Company has renewed its global marketing mandate with WPP across all markets except North America. This move comes just two months after rivalPublicis Groupe seized Coca-Cola’s North America media businessin a fiercely contested pitch concluded in March 2025. Global chief marketing officerManuel ""Manolo"" Arroyo confirmed via LinkedInthat WPP Open X remains Coca-Cola’s global marketing network partner. “We built and scaled Open X, the industry’s first open-source marketing model. We’ve significantly stepped up our capabilities, including scaling innovative solutions like Studio X, experimenting with AI to transform how we connect with consumers, and becoming a stronger global network,” Arroyo said. In a statement issued toCampaign Asia-Pacific, WPP has confirmed the win: ""We are pleased to confirm that The Coca-Cola Company has renewed its partnership with WPP Open X, and we look forward to continuing our momentum as their global marketing network agency partner.” In 2024, Coca-Cola was also named Creative Brand of the Year at Cannes Lions and recognised by Kantar as the world’s most valuable food and drink brand, Arroyo noted. Open X, created specifically for Coca-Cola in November 2021 to manage the nearly $4 billion account. Led by chief executive Laurent Ezekiel, the unit oversees creative, media, data and marketing technology for Coca-Cola’s entire brand portfolio. Core brands include Fanta, Sprite, Costa Coffee, and Innocent. When WPP initially won the account in 2021, Coca-Cola consolidated all media, creative, social and production activities under its remit. The second year saw the scope expand to commerce, data, technology, influencer marketing and live experiences. Open X has delivered major global campaigns, including‘It’s Magic When the World Comes Together’ for the Paris 2024 Olympic and Paralympic Games, with EssenceMediacom handling media planning and buying. Earlier this year,Campaignreportedthat Coca-Cola’s U.S. and Canada media spend—$785 million and $52 million respectively in 2024, according to COMvergence—shifted to Publicis Groupe after a closed review managed by MediaSense. WPP had previously held the North America business for four years. The renewed partnership with Coca-Cola couldn’t have come at a better time for WPP. After atough quarter, marked by a 0.9% dip in GroupM’s global revenues and a 4.4% drop in creative agency earnings and news that WPP is preparing to retire the GroupM brand as it moves towards a single P&L. Besides the financial boost, the multi-billion dollar win will be seen as a morale boost in restoring confidence among shareholders, employees, and clients. Coca-Cola continues to evolve its marketing, with a growing emphasis on digital, AI, and consumer experience, as seen in campaigns like the 2024 'Holidays Are Coming' refresh. Editor’s Note: The story was first published inCampaign Asia-Pacificon May 22 and updated on May 23 to include a quote from WPP. LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/coca-cola-and-wpp-renew-global-marketing-partnership/43148j43wwa3k4fv29b8sapxdy,,,,2026-06-02T14:40:43.933551,52,3191,476
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola encourages 'Coke Nawaazi' ahead of festive season," Watch the ad film conceptualised by McCann Erickson here
","Watch the ad film conceptualised by McCann Erickson here by Campaign India Team To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/coca-cola-encourages-coke-nawaazi-ahead-of-festive-season/4aawk8vcyr8q0s3a9e1gx276wc,,,,2026-06-02T14:40:45.814349,59,768,121
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola defends COP27 sponsorship despite 'greenwashing' criticism," Climate activists have questioned the legitimacy of the climate conference after Coca-Cola, one of the world's worst plastic polluters, became a sponsor","Climate activists have questioned the legitimacy of the climate conference after Coca-Cola, one of the world's worst plastic polluters, became a sponsor byImogen Watson|06/10/2022 The Coca-Cola Company has defended its decision to sponsor the 27th annual United Nations Climate Change Conference (COP27), claiming it is “prepared to do [its] part” in the fight against climate change.  The sponsorship deal has been slammed by climate activists including Greenpeace, which said Coca-Cola produces 120 billion single-use plastic bottles a year and has ranked the drinks company as one of theworld's top plastic polluters.  Responding to the criticism, Coca-Cola said it shares “the goal of eliminating waste from the ocean and appreciates efforts to raise awareness about this challenge”, pointing to its “ambitious goals” that start with “helping to collect and recycle a bottle or can for every one we sell – regardless of where it comes from – by 2030”.  It claimed it is committed to do more, faster, so it can grow its business the right way, which is why it will “continue to partner with other businesses, civil society organisations, and governments to support cooperative action on this critical issue”.  The Coca-Cola Company has indeedrecently raised €500m for sustainability projects. However, alongside PepsiCo, it has beennamed the top plastic polluter for four years running.  COP27 takes place in Egypt's Sharm-El Sheikh next month and, given that previous sponsors include Unilever, which is currently ranked the world's third worst plastic polluter, in 2016 and Jaguar Land Rover at COP26 last year, several environmental activists are now questioning the legitimacy of the climate conference.  “Coca-Cola sponsoring COP27 is the last nail in the coffin for the conference,” John Brown, founder and chief executive of Don't Cry Wolf, insisted. “It's clear now that it's little more than a political posturing party, sponsored by some of the most polluting brands on the planet.”  He highlighted thatrecent research commissioned by the PRCA Misinformation in the Climate Crisis strategy group, found that more than half of the UK population did not know what the outcome of COP26 was, and more than a third said that COP doesn't affect them.  “All in all, Coke can keep COP as far as I'm concerned. We have to instead embrace meaningful community-based action and brands brave enough to do that are the ones that will win consumer hearts and minds,” Brown said.  Kit Speedwell, a spokesperson for the Brandalism network, said: “Coca-Cola is one of the world’s top polluters, embroiled in water scandals, human rights abuses and plastic pollution. Placing them at the heart of the COP27 climate summit shows the rot at the centre of climate politics and undermines the intentions of the conference from day one.""  Chris Norman, founder of The Good Agency, noted that through the sponsorship, COP27 is shining a bright light on the company's “woefully inadequate response to the environmental damage they are causing”.  He argued that The Coca-Cola Company's pledge to reduce 25% of packaging to be reusable by 2030 is “just one example of falling catastrophically short of the level of action required to address the damage its plastic packaging is causing"".  He added: ""It gives its pedestrian pace of change a veneer of acceptability.  ""Nothing short of Coca-Cola announcing it is abandoning the use of virgin plastic and a massive investment to clear up the pollution its packaging has caused could justify its involvement in COP27.""  The sponsorship deal has also received backlash on Twitter. Ben Essen, Iris’ global chief strategy officer and climate advocate, said the main reaction is akin to “Putin sponsoring a conference on Ukraine independence-type thing”.  He questioned why Coca-Cola’s response focuses on emissions, not waste. “If COP27 is primarily about emissions reduction and climate adaption (over waste or biodiversity), it may be that the Eygptian hosts may have felt it could sign up a company that turns oil into plastic in a way it couldn’t with one that just burns the stuff. Of course, this kind of siloing is dangerous and means missing the point of the crisis.”  More optimistically, he said, is the idea that the world needs big business to take Net Zero transformation seriously. As recently as January 2020, Coca-Cola’s head of sustainability, Bea Perez, confirmed at Davos that the brandwould not ditch single-use plastic bottlesbecause people ""still want them”.  Essen added that the brand now has “challenging ambitions in building a circular ecosystem where a bottle is collected and recycled for every bottle sold by 2030"".  He continued: ""Turning billions of consumers of disposable drinks into participants in a circular system requires a massive transformation in the marketing machine and the world’s biggest ever behavious change programme. As a marketer, this is the kind of challenge I would love to see on my next client brief.”  Campaignhas contacted COP27 for comment.  (This article first appeared on CampaignLive.co.uk) LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/coca-cola-defends-cop27-sponsorship-despite-greenwashing-criticism/4z1502v7me7axsfv6sg9rthvdv,,,,2026-06-02T14:40:48.152897,68,5112,808
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Blog: Ayushmann Khurrana - 100 crores?! Badhai Ho! Coca Cola ho jaye!, The author explains the rise of the 'phenomenon' - as a brand and as an actor,"The author explains the rise of the 'phenomenon' - as a brand and as an actor by Sandeep Goyal To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/blog-ayushmann-khurrana-100-crores-badhai-ho-coca-cola-ho-jaye/44nc4rpfapc6t682ya57xpxtmf,,,,2026-06-02T14:40:50.138767,69,783,127
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola partners with the ICC," Deal sees the end of PepsiCo's association with the Cricket World Cup
","Deal sees the end of PepsiCo's association with the Cricket World Cup byCampaign India Team|31/01/2019 LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/coca-cola-partners-with-the-icc/47906qte5j08tx8fj98h34gyxc,,,,2026-06-02T14:40:52.285847,31,131,19
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,"Cannes 2014: Coca Cola's Wendy Clark brings alive spirit of the ‘World’s Cup’, in real time"," “Change everything about the way we operate as marketers to meet the remit of real time marketing”
","“Change everything about the way we operate as marketers to meet the remit of real time marketing” by Gokul Krishnamurthy To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/cannes-2014-coca-colas-wendy-clark-brings-alive-spirit-of-the-worlds-cup-in/4qtz70w4b7scsya9hcbvk5a8nr,,,,2026-06-02T14:40:54.364665,91,810,128
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Weekend Fun (1): Coca-Cola ships Metallica and fans to Antarctica for gig," Watch a short video of the concert, as part of the brand’s Música Zero initiative
","Watch a short video of the concert, as part of the brand’s Música Zero initiative byCampaign India Team|13/12/2013 LATEST
    NEWS In-Depth",https://www.campaignindia.in/article/weekend-fun-1-coca-cola-ships-metallica-and-fans-to-antarctica-for-gig/4naz29cvjpsq0vfnm6jndsrwng,,,,2026-06-02T14:40:56.612271,73,139,21
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Coca-Cola thanks everyday heroes for 'filling the glass with kindness and hope'," Watch the film conceptualised by Merdeka LHS, part of Dentsu Group Malaysia.
","Watch the film conceptualised by Merdeka LHS, part of Dentsu Group Malaysia. by Campaign India Team To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/coca-cola-thanks-everyday-heroes-for-filling-the-glass-with-kindness-and-hope/4e8vk5r0tfn7ssseyhsn7y7w4z,,,,2026-06-02T14:40:59.012138,79,788,124
9,Campaign India (CocaCola),campaignindia,Campaign India,Coca Cola,Diljit Dosanjh creates the perfect ambience for a Coca-Cola hangout, Watch the film conceptualised by McCann here,"Watch the film conceptualised by McCann here by Campaign India Team To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/diljit-dosanjh-creates-the-perfect-ambience-for-a-coca-cola-hangout/4te1trkaxzh4m4ynpfp6t3nsxp,,,,2026-06-02T14:41:01.128034,67,756,119
